Datetime,Open,High,Low,Close
2022-02-10 01:05:00+00:00,44165.34375,44165.34375,44165.34375,44165.34375
2022-02-10 01:06:00+00:00,44169.9140625,44169.9140625,44169.9140625,44169.9140625
2022-02-10 01:07:00+00:00,44188.77734375,44188.77734375,44188.77734375,44188.77734375
2022-02-10 01:08:00+00:00,44184.91015625,44184.91015625,44184.91015625,44184.91015625
2022-02-10 01:09:00+00:00,,,,
2022-02-10 01:10:00+00:00,44185.8046875,44185.8046875,44185.8046875,44185.8046875
2022-02-10 01:11:00+00:00,44189.46875,44189.46875,44189.46875,44189.46875
2022-02-10 01:12:00+00:00,44191.22265625,44191.22265625,44191.22265625,44191.22265625
2022-02-10 01:13:00+00:00,44197.48046875,44197.48046875,44197.48046875,44197.48046875
2022-02-10 01:14:00+00:00,44201.5546875,44201.5546875,44201.5546875,44201.5546875
2022-02-10 01:15:00+00:00,44195.40234375,44195.40234375,44195.40234375,44195.40234375
2022-02-10 01:16:00+00:00,44199.890625,44199.890625,44199.890625,44199.890625
2022-02-10 01:17:00+00:00,44194.0078125,44194.0078125,44194.0078125,44194.0078125
2022-02-10 01:18:00+00:00,,,,
2022-02-10 01:19:00+00:00,44198.48828125,44198.48828125,44198.48828125,44198.48828125
2022-02-10 01:20:00+00:00,44195.1640625,44195.1640625,44195.1640625,44195.1640625
2022-02-10 01:21:00+00:00,44189.29296875,44189.29296875,44189.29296875,44189.29296875
2022-02-10 01:22:00+00:00,44182.5234375,44182.5234375,44182.5234375,44182.5234375
2022-02-10 01:23:00+00:00,44190.31640625,44190.31640625,44190.31640625,44190.31640625
2022-02-10 01:24:00+00:00,44195.20703125,44195.20703125,44195.20703125,44195.20703125
2022-02-10 01:25:00+00:00,44219.171875,44219.171875,44219.171875,44219.171875
2022-02-10 01:26:00+00:00,44222.65625,44222.65625,44222.65625,44222.65625
2022-02-10 01:27:00+00:00,,,,
2022-02-10 01:28:00+00:00,44226.171875,44226.171875,44226.171875,44226.171875
2022-02-10 01:29:00+00:00,44218.8203125,44218.8203125,44218.8203125,44218.8203125
2022-02-10 01:30:00+00:00,44203.39453125,44203.39453125,44203.39453125,44203.39453125
2022-02-10 01:31:00+00:00,44147.02734375,44147.02734375,44147.02734375,44147.02734375
2022-02-10 01:32:00+00:00,,,,
2022-02-10 01:33:00+00:00,44156.6171875,44156.6171875,44156.6171875,44156.6171875
2022-02-10 01:34:00+00:00,44170.1171875,44170.1171875,44170.1171875,44170.1171875
2022-02-10 01:35:00+00:00,44179.24609375,44179.24609375,44179.24609375,44179.24609375
2022-02-10 01:36:00+00:00,,,,
2022-02-10 01:37:00+00:00,44185.46875,44185.46875,44185.46875,44185.46875
2022-02-10 01:38:00+00:00,,,,
2022-02-10 01:39:00+00:00,44190.67578125,44190.67578125,44190.67578125,44190.67578125
2022-02-10 01:40:00+00:00,44199.9296875,44199.9296875,44199.9296875,44199.9296875
2022-02-10 01:41:00+00:00,44199.0078125,44199.0078125,44199.0078125,44199.0078125
2022-02-10 01:42:00+00:00,44206.60546875,44206.60546875,44206.60546875,44206.60546875
